variation_name,chunk_size,top_k,expand_context,top_k_docs,chunking_strategy,use_hybrid,hybrid_alpha,doc_retrieval,deductible_id,base_rate_id,factor_id,calculation,total_score,doc_retrieval_reason,deductible_id_reason,base_rate_id_reason,factor_id_reason,calculation_reason,answer_preview,execution_time,chunks_retrieved
chunk_400_topk_1_window2_docs5_document,400,1,2,5,document,True,0.5,20.0,20.0,0.0,5.0,0.0,45.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✓ Identified 2% deductible (+15) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✗ Incorrect answer and no clear formula (0),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",90.31,25
chunk_400_topk_1_window2_docs5_page,400,1,2,5,page,True,0.5,20.0,20.0,0.0,5.0,0.0,45.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✓ Identified 2% deductible (+15) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✗ Incorrect answer and no clear formula (0),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",91.54,25
chunk_1200_topk_1_window0_docs5_page,1200,1,0,5,page,True,0.5,20.0,5.0,0.0,5.0,10.0,40.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",90.03,5
chunk_800_topk_1_window0_docs5_page,800,1,0,5,page,True,0.5,20.0,5.0,0.0,5.0,10.0,40.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",102.42,5
chunk_1600_topk_1_window0_docs5_document,1600,1,0,5,document,True,0.5,20.0,5.0,0.0,5.0,10.0,40.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",93.19,5
chunk_1600_topk_1_window0_docs5_page,1600,1,0,5,page,True,0.5,20.0,5.0,0.0,5.0,10.0,40.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",91.03,5
chunk_800_topk_1_window0_docs5_document,800,1,0,5,document,True,0.5,20.0,5.0,0.0,5.0,10.0,40.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",89.72,5
chunk_400_topk_1_window1_docs5_page,400,1,1,5,page,True,0.5,20.0,5.0,0.0,5.0,10.0,40.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",86.0,15
chunk_400_topk_1_window1_docs5_document,400,1,1,5,document,True,0.5,20.0,5.0,0.0,5.0,10.0,40.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",85.38,15
chunk_1200_topk_1_window0_docs5_document,1200,1,0,5,document,True,0.5,20.0,5.0,0.0,5.0,10.0,40.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✓ Referenced Rule C-7 or distance criterion (+5),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",90.53,5
chunk_2000_topk_3_window1_docs5_page,2000,3,1,5,page,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",84.29,40
chunk_1200_topk_1_window1_docs5_page,1200,1,1,5,page,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",94.66,15
chunk_1200_topk_1_window2_docs5_page,1200,1,2,5,page,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",94.77,25
chunk_1600_topk_5_window1_docs5_page,1600,5,1,5,page,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",92.79,64
chunk_1600_topk_5_window1_docs5_document,1600,5,1,5,document,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",93.06,64
chunk_800_topk_5_window1_docs5_document,800,5,1,5,document,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",92.65,64
chunk_400_topk_5_window2_docs5_page,400,5,2,5,page,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",87.42,106
chunk_2000_topk_1_window1_docs5_document,2000,1,1,5,document,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",89.88,15
chunk_2000_topk_1_window2_docs5_page,2000,1,2,5,page,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",86.04,25
chunk_2000_topk_1_window2_docs5_document,2000,1,2,5,document,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",86.7,25
chunk_400_topk_5_window2_docs5_document,400,5,2,5,document,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",86.45,106
chunk_800_topk_3_window2_docs5_page,800,3,2,5,page,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",90.94,60
chunk_2000_topk_1_window1_docs5_page,2000,1,1,5,page,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",89.41,15
chunk_400_topk_3_window2_docs5_document,400,3,2,5,document,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",96.89,69
chunk_2000_topk_5_window2_docs5_document,2000,5,2,5,document,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",94.96,98
chunk_1200_topk_1_window1_docs5_document,1200,1,1,5,document,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",97.02,15
chunk_1200_topk_5_window1_docs5_document,1200,5,1,5,document,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",90.93,67
chunk_1200_topk_5_window0_docs5_page,1200,5,0,5,page,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow these steps:

1. Deter",89.53,25
chunk_400_topk_1_window0_docs5_page,400,1,0,5,page,True,0.5,20.0,0.0,0.0,5.0,10.0,35.0,✓ Retrieved CT MAPS Homeowner Rules Manual (+10) | ✓ Retrieved CT Homeowners MAPS Rate Pages (+10),✗ Did not identify 2% deductible (0) | ✗ No reference to Rule C-7 or distance (0),✗ Did not find $293 base rate (0) | ✗ No reference to Exhibit 1 (0),✗ Did not find factor 2.061 (0) | ✓ Referenced Exhibit 6 or factor criteria (+5),✓ Shows correct formula structure (+10),"To calculate the unadjusted Hurricane premium for an HO3 policy with a $750,000 Coverage A limit located 3,000 feet from the coast in a Coastline Neighborhood, we need to follow the steps outlined in ",79.66,5
